id,price_usd,price_decile
52458524,41.0,0
52465101,225.0,7
52474452,107.0,3
52474453,409.0,9
52492240,175.0,6
52538189,185.0,6
52546451,200.0,7
52547772,135.0,5
52550992,250.0,8
52608720,131.0,4
52610201,85.0,1
52617199,273.0,8
52617860,313.0,8
52668715,102.0,3
52674349,66.0,0
52705474,302.0,8
52718800,102.0,3
52736029,376.0,9
52794539,209.0,7
52837228,223.0,7
52854417,275.0,8
52887058,134.0,5
52899477,499.0,9
52903285,27.0,0
52903885,133.0,5
52925881,198.0,7
52931930,131.0,4
52934930,115.0,4
52952113,279.0,8
52954755,56.0,0
52962331,15.0,0
52971784,129.0,4
52991459,453.0,9
53023564,88.0,2
53030063,110.0,3
53032790,171.0,6
53092220,1821.0,9
53093098,151.0,5
53125580,307.0,8
53179175,125.0,4
53204369,60.0,0
53273299,91.0,2
53273726,113.0,3
53281129,131.0,4
53289644,369.0,9
53310406,150.0,5
53310825,168.0,6
53311173,160.0,6
53312296,669.0,9
53395590,395.0,9
53395592,277.0,8
53430884,444.0,9
53449213,256.0,8
53457824,127.0,4
53495721,114.0,3
53506726,138.0,5
53508986,91.0,2
53541540,210.0,7
53547976,122.0,4
53558640,105.0,3
53561074,69.0,0
53606793,132.0,4
53643185,254.0,8
53643250,75.0,1
53648574,306.0,8
53671909,137.0,5
53690085,297.0,8
53699931,145.0,5
53722335,198.0,7
53742409,178.0,6
53753481,150.0,5
53784952,200.0,7
53784992,47.0,0
53785541,47.0,0
53793198,39.0,0
53826158,85.0,1
53832330,213.0,7
53845486,684.0,9
53846446,158.0,6
53857546,195.0,7
53888838,495.0,9
53926572,571.0,9
53982481,75.0,1
53982703,122.0,4
54006442,99.0,2
54011977,99.0,2
54044781,95.0,2
54072884,65.0,0
54119932,144.0,5
54138782,50.0,0
54184393,1057.0,9
54228904,232.0,7
54229794,137.0,5
54232479,120.0,4
54260374,211.0,7
54274825,41.0,0
54279055,133.0,5
54314797,244.0,7
54320316,69.0,0
54326499,132.0,4
54351140,175.0,6
54353223,167.0,6
54406242,40.0,0
534015342005836604,85.0,1
548708984302517493,99.0,2
549171551202496840,114.0,3
549301732339720593,174.0,6
549978484678641211,102.0,3
550551028937183208,78.0,1
551264073523811543,250.0,8
551423603343357575,106.0,3
552053633562355897,230.0,7
552154644562670350,140.0,5
554282156692351530,161.0,6
554287388846165092,208.0,7
554338948779706744,290.0,8
554540295389052125,99.0,2
556303216712717862,100.0,3
556453561587092335,115.0,4
557267473982972293,165.0,6
557368397297803157,225.0,7
557817593538158401,75.0,1
557873794986607231,144.0,5
558597394709287405,189.0,6
561483905539593879,145.0,5
561696274751615668,311.0,8
562151087989468295,35.0,0
564465514725800559,780.0,9
564682816014057596,452.0,9
565845862381025091,141.0,5
565916956349123822,238.0,7
566564176788326751,139.0,5
567235228834537605,114.0,3
567444958220784708,157.0,6
567933019816419619,548.0,9
569548244798677981,336.0,8
571027554473176486,130.0,4
571031709574723537,95.0,2
571539242864932619,91.0,2
571846084759795576,245.0,7
572435801484512661,235.0,7
572435816142415498,260.0,8
572435835067697316,278.0,8
572435867063700994,302.0,8
572435903541837350,348.0,9
572469838940652151,83.0,1
573082159149089383,262.0,8
573788729255175815,477.0,9
574528050452533802,204.0,7
574570250363828575,100.0,3
575374602222225785,132.0,4
577703974478980299,125.0,4
578762733048842826,160.0,6
579930049387493349,175.0,6
580441849807734395,249.0,8
583180347593401019,87.0,2
583433201809490265,64.0,0
583496461835542412,126.0,4
584595916036589563,464.0,9
585978338904685433,88.0,2
587158049597481686,141.0,5
587795283077235858,155.0,5
587875188664208473,65.0,0
588388462295176869,380.0,9
588559050060230555,154.0,5
589753454544295716,278.0,8
591230873312834346,126.0,4
591960600601075742,145.0,5
