id,url,status,http_code,file_path,file_size,width,height,mode,md5_hash,error
6760016,https://a0.muscache.com/pictures/85597515/bb3d35e3_original.jpg,success_cached,200.0,c:\Prathik\MY DOCUMENTS\Rental_price_prediction\datasets\multimodal_v3\images\6760016.jpg,1547399,3264,2448,RGB,6a44a7659c0782f701317eb78340f56c,
7103096,https://a0.muscache.com/pictures/90087470/58545d32_original.jpg,success_cached,200.0,c:\Prathik\MY DOCUMENTS\Rental_price_prediction\datasets\multimodal_v3\images\7103096.jpg,222589,1024,683,RGB,3d813b78aa324b7d034c14fd3788feec,
7001873,https://a0.muscache.com/pictures/646be848-78c9-43bf-a978-71b2f53db241.jpg,success_cached,200.0,c:\Prathik\MY DOCUMENTS\Rental_price_prediction\datasets\multimodal_v3\images\7001873.jpg,3271452,5312,2988,RGB,35243ad9c4da316fd1992bc352ab4e22,
7418991,https://a0.muscache.com/pictures/hosting/Hosting-7418991/original/971b770f-7a7e-4f9a-b97d-93e578aae2cf.jpeg,success_cached,200.0,c:\Prathik\MY DOCUMENTS\Rental_price_prediction\datasets\multimodal_v3\images\7418991.jpg,1195646,3865,2899,RGB,4893e61f3a09c6acd0748f8ba77e404b,
7438838,https://a0.muscache.com/pictures/104852917/aed9d578_original.jpg,success_cached,200.0,c:\Prathik\MY DOCUMENTS\Rental_price_prediction\datasets\multimodal_v3\images\7438838.jpg,76188,797,534,RGB,6fa98d33bbe2a119dc638dc06c3eb58d,
7665735,https://a0.muscache.com/pictures/97367121/c41f2c22_original.jpg,success_cached,200.0,c:\Prathik\MY DOCUMENTS\Rental_price_prediction\datasets\multimodal_v3\images\7665735.jpg,684507,2064,1161,RGB,b3dee5025f0033c0d409d86d38caa0dd,
7859259,https://a0.muscache.com/pictures/dcac39e8-3343-4433-9d70-5df220eca93c.jpg,success_cached,200.0,c:\Prathik\MY DOCUMENTS\Rental_price_prediction\datasets\multimodal_v3\images\7859259.jpg,921638,2448,3264,RGB,2da0eda77db12869b2f1cd3a7a457833,
7887572,https://a0.muscache.com/pictures/674030e1-8e3c-4474-8271-e64eb8943753.jpg,success_cached,200.0,c:\Prathik\MY DOCUMENTS\Rental_price_prediction\datasets\multimodal_v3\images\7887572.jpg,3570465,4032,3024,RGB,4a793b7cafd6b04a2be52d6b78c9c6f3,
7938930,https://a0.muscache.com/pictures/7c796240-80c5-470f-9779-3077192d298b.jpg,success_cached,200.0,c:\Prathik\MY DOCUMENTS\Rental_price_prediction\datasets\multimodal_v3\images\7938930.jpg,1918257,4748,3159,RGB,b2e7393234d67035b0f85e829634bdef,
7967886,https://a0.muscache.com/pictures/miso/Hosting-7967886/original/ddbab0fc-52b8-47d7-91f5-12c309773bf3.jpeg,success_cached,200.0,c:\Prathik\MY DOCUMENTS\Rental_price_prediction\datasets\multimodal_v3\images\7967886.jpg,189461,1140,855,RGB,177bbb2e9ce41afaff5d445c7350fac9,
